# WorldMapArea bounds with each area's zone name, used to turn LootCollector
# map positions into server coordinates.
# Written by make_worldmaparea_bounds.py; do not edit by hand, regenerate.
# WorldMapArea.dbc md5 385136e35c9b279ff195a3414d59b9f8 (310 rows); AreaTable.dbc md5 84bc3244773e840e954f9b0cfbad5e65 (2849 rows)
wma_id	map	area_id	zone	wma_name	left	right	top	bottom
780	548	3607	Serpentshrine Cavern	CoilfangReservoir	213	-1363	650	-400
781	568	3805	Zul'Aman	ZulAman	1852	583	568	-277
782	550	3845	Tempest Keep	TempestKeep	788	-788	950	-100
789	580	4075	Sunwell Plateau	SunwellPlateau	1206	300	2012	1408
793	859	1977	Zul'Gurub	ZulGurub	-612	-2733	-11225	-12639
796	564	3959	Black Temple	BlackTemple	1150	366	949	427
797	543	3562	Hellfire Ramparts	HellfireRamparts	1989	1295	-1029	-1492
798	585	4131	Magisters' Terrace	MagistersTerrace	226	-304	326	-28
799	532	3457	Karazhan	Karazhan	-1434	-2270	-10773	-11460
800	1178	11220		Stormwind	1722	-14	-7995	-9154
801	1181	11221		Ogrimmar	-3680	-5083	2273	1338
820	1280	7107	Hillsbrad Foothills	HillsbradFoothillsBG	1995	-172	2977	1531
856	998	6051	The Temple of Kotmogu	TempleofKotmogu	1743.75	904.167	2083.3301	1522.92
1000	1760	4294967295		RedridgeMountainsManastorm	-1570	-3741	-8575	-10022
1001	1761	4294967295		AlteracMountainsManastorm	783	-2016	1500	-366
1002	1762	4294967295		BlastedLandsManastorm	-1241	-4591	-10566	-12800
1003	1763	4294967295		EasternPlaguelandsManastorm	-2287	-6318	3704	1016
1004	1764	4294967295		FeralasManastorm	5441	-1508	-2366	-7000
1005	1765	4294967295		HillsbradFoothillsManastorm	1066	-2133	400	-1733
1006	1766	4294967295		SilverpineForestManastorm	3450	-750	1666	-1133
1007	1767	4294967295		TanarisManastorm	-218	-7118	-5875	-10475
1008	1768	4294967295		WesternPlaguelandsManastorm	416	-3883	3366	500
1009	1769	4294967295		WestfallManastorm	3016	-483	-9400	-11733
1010	1770	4294967295		WinterSpringManastorm	-316	-7416	8533	3800
1139	1681	3358	Arathi Basin	ArathiBasinWinter	1858.33	102.084	1508.33	337.5
1140	1682	3277	Warsong Gulch	WarsongGulchWinter	2041	895	1627	862
1141	808	5004	Twisting Nether	TwistingNetherMap	1064	-1014	857	-527
1142	808	5005	Demon's Tears	TwistingNetherMap	1064	-1014	857	-527
1143	808	5006	Sty'La	TwistingNetherMap	1064	-1014	857	-527
1144	1781	11430	Forgotten Mine	ForgottenMine	1733.34	1233.33	2000.1	1666.67
1200	1	718	Wailing Caverns	wailingcavernsbarrens	-1902.5	-2472.5	-490	-870
1201	0	796	Scarlet Monastery	scarletmonasteryentrance	-660	-864.99	2948.8301	2812.1599
1202	1	10145	Caverns of Time	cavernsoftimein	-3707.5	-5013.5	-8036.6602	-8907.3301
1203	1	10113	Caverns of Time	cavernsoftime	-4163.7402	-5271.25	-7955.8301	-8694.1602
1204	0	25	Blackrock Mountain	blackrockmountain	-761.25	-1473.75	-7325	-7800
1205	0	10114	Blackrock Mountain	upperblackrockmountain	-1145	-1400	-7480	-7650
1206	0	10115	Blackrock Mountain	lowerblackrockmountain	-627.48	-1387.51	-7086.6499	-7593.3398
1207	1	2100	Maraudon	maraudonorange	3085.5	2485.5	-1250	-1650
1208	1	10116	Maraudon	maraudonpurple	3165.01	2604.98	-1092.3199	-1465.67
1209	0	1337	Uldaman	Uldamanin	-2748.75	-3311.25	-5955	-6330
1210	1	10117	Stillpine Hold	stillpinehold	-12247.5	-12722.5	-3009.1599	-3325.8301
1211	1	3569	Tides' Hollow	tideshollow	-11369	-11744	-4640	-4890
1212	0	10118	Night Web's Hollow	nightwebshollow	2020	1800	2123.3301	1976.66
1213	0	10119	Gol'Bolar Quarry	golbolarquarry	-1542.99	-1917	-5486.8301	-5736.1699
1214	0	10120	Coldridge Pass	coldridgepass	245	-85	-6020	-6240
1215	0	10121	The Grizzled Den	thegrizzledden	32.75	-472.75	-5313	-5650
1216	1	365	Burning Blade Coven	burningbladecoven	-4166.5	-4432.5	5.5	-171.83
1217	1	371	Dustwind Cave	dustwindcave	-4622.5	-4880.5	971.25	799.25
1218	1	10123	Skull Rock	skullrock	-4629	-4899	1580.5	1400.5
1219	0	10124	Fargodeep Mine	Upperfargodeepmine	281.75	41.75	-9700	-9860
1220	0	10125	Fargodeep Mine	Lowerfargodeepmine	289.25	34.25	-9710	-9880
1221	0	10126	Jasperlode Mine	jasperlodemine	-445.875	-769.125	-8985	-9200.5
1222	0	10127	Amani Catacombs	amanicatacombs	-7180	-7480	7710	7510
1223	1	10128	Palemane Rock	palemanerock	580	229.99	-2263.3301	-2496.6599
1224	1	10129	The Venture Co. Mine	theventurecomine	-818	-1559	-1436	-1930
1225	0	10130	Echo Ridge Mine	echoridgemine	-27	-306	-8500	-8686
1226	1	3446	Twilight's Run	twilightsrun	161.255	-91.2549	-6183.3301	-6351.6699
1227	1	10131	The Noxious Lair	thenoxiouslair	-2190	-2940	-7640	-8140
1228	1	10132	The Gaping Chasm	thegapingchasm	-3612.5	-4497.5	-8900	-9490
1229	1	262	Ban'ethil Barrow Den	Upperbanethilbarrowden	1685	1454.99	9881.6699	9728.3301
1230	1	10133	Ban'ethil Barrow Den	Lowerbanethilbarrowden	1735	1354.99	9931.6699	9678.3301
1231	1	258	Fel Rock	felrock	1249.8	970.2	10211.7002	10025.2998
1232	1	257	Shadowthread Cave	shadowthreadcave	1140	660	11035	10715
1233	1	10134	The Slithering Scar	theslitheringscar	-983.75	-1366.25	-7930	-8185
1234	0	10135	The Deadmines	deadmineswestfall	1792.5	1342.5	-11055	-11355
1235	0	10136	Gold Coast Quarry	goldcoastquarry	2096.25	1833.75	-10430	-10605
1236	0	10137	Jangolode Mine	jangolodemine	1570.5	1293.5	-9798.6699	-9983.3301
1237	0	10138	Northshire Valley	northshire	187.5	-781.25	-8570.8301	-9216.6699
1238	0	10139	Coldridge Valley	coldridgevalley	1200	-66.8	-5724.6602	-6566.6602
1239	0	10140	Deathknell	deathknellstart	2147.9199	1058.33	2270.8301	1543.75
1240	530	10141	Sunstrider Isle	sunstriderislestart	-5383.3301	-6983.3301	10833.2998	9766.6699
1241	530	10142	Ammen Vale	ammenvalestart	-12814.5996	-14633.2998	-3604.1699	-4816.6699
1242	1	10143	Shadowglen	shadowglenstart	1491.67	41.666	11033.2998	10066.7002
1243	1	10144	Valley of Trials	valleyoftrialsstart	-3641.6699	-4991.6699	0	-900
1244	1	10146	Red Cloud Mesa	campnarachestart	266.54	-1533.34	-2566.74	-3766.78
2000	920	10007	Spell Dev Map	SpellDevMap	533.332	-3466.6699	11733.2998	9066.6299
2001	908	10023	Frozen Reach	AlvaEncounter	2566	1666	2433	1833
2002	987	3277	Warsong Gulch	warsonggulchupdate	2041	895	1627	862
2003	988	10043	Arathi Basin	arathibasinupdate	1858	102	1508	337
2004	903	4294967295		StormwindSewers	4846.1099	4199.98	-533.28	-966.67
2005	729	4294967295		osrs4	15099.9004	8678.6797	17066.6992	12786.7998
2007	820	10104	Frozen Tears Sanctum	TirisFortress	-5363.1899	-5826	-6504.3301	-6815.3999
2008	821	4294967295		zamasucombat	2593.5	2408.5	-49.6247	-172.958
2009	909	10078	Dawnrise Island	AzzarFaire	-10166.7002	-13864.7002	-466.682	-2935.6201
2010	909	10081	Glorious Azzar Faire	AzzarFaire2	-11600	-12445	-1366.66	-1930.35
2011	1787	4294967295		tolbarad	2010.42	-4.1667	-560.417	-1904.17
2012	1807	4294967295		KarazhanCrypts	-1933.34	-1266.73	-11366.7002	-10927.5
2013	1794	4294967295		TwistingNetherMap	1064	-1014	857	-527
2014	1795	4294967295		BloodmystIsleManastorm	-10075	-13337	-758	-2933
2015	1799	4294967295		GhostlandsManastorm	-5283	-8583	8266	6066
2016	1800	4294967295		HellfirePeninsulaManastorm	5539	375	1481	-1962
2017	1801	4294967295		NagrandManastorm	10295	4770	41	-3641
2018	1804	4294967295		ShadowmoonValleyManastorm	4225	-1275	-1947	-5614
2019	1806	4294967295		ZangarmarshManastorm	9475	4447	1935	-1416
2020	904	10012	Orgrimmar Depths	OrgrimmarDepths	-4066.6699	-4966.6699	2300	1700
2021	109	1477	The Temple of Atal'Hakkar	thetempleofatalhakkar	366.67	-133.34	-233.297	-566.646
2022	900	0		Northrend2	9762.5	-9077.0801	11106.2002	-1454.17
2023	369	2257	Deeprun Tram	deepruntram	2623.5	2311.5	95.5	-112.5
2024	1912	4294967295		TorWatha	-8300	-9100	8800	8266.6602
2025	972	10162	Orgrimmar Depths	OrgrimmarDepthsUnderroof	-4535.6699	-5333.6699	2032.67	1500.67
2026	971	4294967295		StormwindSewersShade	4846.1099	4199.98	-533.28	-966.67
2027	0	10305	Shadewell	ShadewellSpring	266.658	-1033.35	-7933.3301	-8800
2028	0	10197	Secret Inquisitorial Dungeon	SecretInquisitorialDungeon	-66.6719	-566.668	-8500	-8833.3301
2029	1	10205	Sinister Lair	SinisterLair	-4100	-4650.29	0.0078	-366.625
2030	1	10207	Moonlit Ossuary	MoonlitOssuary	581.66	279.15	10745.9004	10545.9004
2031	1	5366	Xorthal's Lair	Xorthal's Lair	4890	5013	-6813	-7008
2032	936	10218	Vaults of the Inquisition	DeepInquisitorialVaults	-5333.3301	-6333.3301	-6333.3301	-7000
2033	937	10219	Road to De Other Side	VoodooRoadToDeOtherSide	466.66	-733.33	666.66	-133.33
2034	880	10235	The Scarab Wall	Silithusboss	2537	-945	-5958	-8281
2035	881	10236	Azuregos (PvE)	Aszharaboss	-3277	-8347	5341	1960
2036	882	10237	Throne of the Doom Lord	kazzakbossmap	-2011.29	-2613.6799	-12413.5	-12815.0996
2037	883	10238	Master’s Gastric Pit	soggothbossmap	480.041	20.8691	4683.6602	4377.54
2038	884	10240	Depthbreaker's Hollow	DepthbreakerHollow	2795.24	2051.95	-4408.8901	-4904.4199
2039	1	10239	Depthbreaker's Hollow	DepthbreakerHollow	2795.24	2051.95	-4408.8901	-4904.4199
2040	885	10271	Bough Shadow	Emerissbossmap	1700	-4066	4672	829
2041	886	10272	Dream Bough	Taerarbossmap	5441	-1508	-2366	-7000
2042	887	10273	Seradane	Ysondrebossmap	-1575	-5425	1466	-1100
2043	888	10274	Twilight Grove	Lethonbossmap	833	-1866	-9716	-11516
2044	960	0		Minigamesmap	-4388.3999	-5397.0298	-1092.48	-1764.89
2045	960	10072	Rainbow Race	Rainbowrace	-4388.3999	-5397.0298	-1092.48	-1764.89
2046	960	10112	Wonka Wonka!	MinigamesWonka	-5339.5898	-6303.73	5921.71	5278.9502
2047	960	10070	Shadow Eye	Minigamesvoid	-5107.21	-5575.04	6116.6201	5804.7202
2048	960	10071	Duck Hunt	MinigamesDuckHunt	-4773.0698	-5240.9102	6116.6201	5804.7202
2049	960	10069	Bullet Romper	MinigamesBulletRomper	-4941.0498	-5408.8901	5752.5801	5440.6899
2050	960	10073	Vertical Ascend	MinigamesVerticalAscend	-4572.79	-5038.2798	5897.6899	5587.3599
2051	960	10074	Kul Tiran Ascent	MinigamesKulTiranAscent	-4572.79	-5038.2798	5604.5601	5294.23
2052	960	10075	Mechagnomic Ascent	MinigamesMechagnomicAscent	-4572.79	-5038.2798	5366.6602	5056.3398
2053	960	10077	Volcanic Ascent	MinigamesVolcanicAscent	-4254.9902	-4720.4702	5373.0098	5062.6899
2054	960	10099	Naga Ascent	MinigamesNagaAscent	-4023.4099	-4488.8901	5372.9502	5062.6299
2055	960	10102	Zandalari Ascent	MinigamesZandalariAscent	-3726.52	-4192	5372.9502	5062.6299
2056	960	10103	Legion Ascent	MinigamesLegionAscent	-3726.52	-4192	5077.1499	4766.8301
2057	960	10101	Dark Iron Ascent	MinigamesDarkIronAscent	-4023.52	-4489	5077.1499	4766.8301
2058	960	10098	Emerald Ascent	MinigamesEmeraldAscent	-4254.3701	-4719.8501	5077.1499	4766.8301
2059	960	10076	Titanic Ascent	MinigamesTitanicAscent	-4572.6699	-5038.1499	5074.6499	4764.3301
2060	889	10280	Snowgrave's Cavern	Frostgiantnbossmap	-4595.5601	-5113.9702	4909.71	4564.1099
2061	890	10281	Zul'Mashar	EasternPlaguelandsboss	-2287	-6318	3704	1016
2062	0	10302	Pale Reach	Scadeald	2214.23	-1417.64	-6003.8799	-8425.1299
2063	0	10292	Druk'Thar	Palehorn	4010.9099	-1086.22	-3244.71	-6642.79
2064	929	10156	ADT Dev Map	AdtDevMap	533.332	-3466.6699	11733.2998	9066.6299
2065	907	10163	Fading Island	FadingIsland	165.621	-7142.3101	4183.8101	-688.143
2066	0	10306	Dun Kazad	DunKazad	154.441	-647.531	-6307.52	-6842.1602
2067	940	10328	Shadowbone Depths	ShadowboneDepths	348.33	-976.279	763.763	-119.311
2068	930	0		Underworld	-6200	-8033.3301	9800	8600
2069	930	10000	Underworld	Underworld	-6200	-8033.3301	9800	8600
2070	930	10001	Underworld	Underworld2	-6000	-7833.3301	10800	9600
2071	967	10022	Inevitable Future	dreamlikedream	-1892.13	-4115.9902	-10840.5996	-12323.2002
2072	933	10060	Pools of the Eidola	dreamlikedungeon	-2465.04	-3726.8101	-11209.2998	-12050.5
2073	941	10331	Temple of Embers	Templeofembers	4559.3301	1398.78	2515.1201	408.086
2074	959	10292	Druk'Thar	Drukthar	4010.9099	-1086.22	-3244.71	-6642.79
3039	891	10239	Depthbreaker's Hollow	DepthbreakerHollow	2795.24	2051.95	-4408.8901	-4904.4199
3040	1010	15010	Spell Dev Map	CoaSpellVisuals	533.332	-3466.6699	11733.2998	9066.6299
3041	1908	15011	Zanza's Isle	Zanzasisle	1793.1899	874.822	2999.99	2387.75
3042	1911	15015	Akhen City Ruins	Akhen City Ruins	4473.1201	2187.1799	3911.7	1344.24
3043	891	10240	Depthbreaker's Hollow	DepthbreakerHollow	2795.24	2051.95	-4408.8901	-4904.4199
